"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.317366629963011,0.179697108030314,1.7661198526883,0.0800293361320954
"2","UR",0.0835068294314482,0.0322228120526143,2.59154381979748,0.0107927966203777
"3","Slope",0.0541978389919092,0.0488476299729632,1.1095285282399,0.269517023850103
"4","DJI.Price.Momentum",-0.00688800332176122,0.00320397272070108,-2.14983207480431,0.0336632399947335
"5","VIX",0.0116862621645873,0.00446688306399586,2.61620060278304,0.0100848050301156
