"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",1.14958534068053,0.517522911765734,2.22132260146369,0.0282874177612232
"2","UR",0.234812965724742,0.0928008452753495,2.53028908333785,0.0127491691326804
"3","Slope",0.403578096866435,0.140679880569912,2.86876911774086,0.00490426232761254
"4","DJI.Price.Momentum",0.0106538439208251,0.00922735657690989,1.15459328270512,0.250650623925146
"5","VIX",0.0493439026491194,0.0128645049168304,3.83566277661907,0.00020496283047035
